GUID f1496250833848f0adab205a9d65bb1e
Type Quest
ID 27077

Conditions 4
Condition_0_Type Item
Condition_0_ID 5022
Condition_0_Amount 1
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 1029
Condition_1_Amount 25
Condition_1_Value True
Condition_1_Logic Equal
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5051
Condition_2_Amount 2
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 43
Condition_3_Amount 40
Condition_3_Value True
Condition_3_Logic Equal
Condition_3_Reset

Rewards 5
Reward_0_Type Currency
Reward_0_Value 50
Reward_0_GUID b76b37b2d40c4054b850458e135408c6
Reward_1_Type Reputation
Reward_1_Value 5
Reward_2_Type Flag_Short_Random
Reward_2_ID 27000
Reward_2_Min_Value 4
Reward_2_Max_Value 6
Reward_2_Modification Increment
Reward_3_Type Flag_Short_Random
Reward_3_ID 27051
Reward_3_Min_Value 0
Reward_3_Max_Value 2
Reward_3_Modification Assign
Reward_4_Type Flag_Short
Reward_4_ID 27350
Reward_4_Value 5
Reward_4_Modification Increment

// If you're copying things, at least credit NSTM.
