GUID 312b65ebb9b14a6aa0fda9a505b9c7c3
Type Dialogue
ID 28801

Messages 10
 
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Quest
Message_0_Condition_0_ID 28805
Message_0_Condition_0_Status None
Message_0_Condition_0_Logic Equal
Message_0_Responses 3
Message_0_Response_0 0
Message_0_Response_1 1
Message_0_Response_2 2

Message_1_Pages 1
Message_1_Conditions 2
Message_1_Condition_0_Type Quest
Message_1_Condition_0_ID 28805
Message_1_Condition_0_Status None
Message_1_Condition_0_Logic Not_Equal
Message_1_Condition_1_Type Quest
Message_1_Condition_1_ID 28805
Message_1_Condition_1_Status Completed
Message_1_Condition_1_Logic Not_Equal
Message_1_Responses 2
Message_1_Response_0 3
Message_1_Response_1 4

Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Quest
Message_2_Condition_0_ID 28805
Message_2_Condition_0_Status Completed
Message_2_Condition_0_Logic Equal
Message_2_Condition_1_Type Quest
Message_2_Condition_1_ID 28810
Message_2_Condition_1_Status None
Message_2_Condition_1_Logic Equal
Message_2_Responses 2
Message_2_Response_0 5
Message_2_Response_1 7

Message_3_Pages 1
Message_3_Conditions 2
Message_3_Condition_0_Type Quest
Message_3_Condition_0_ID 28810
Message_3_Condition_0_Status None
Message_3_Condition_0_Logic Not_Equal
Message_3_Condition_1_Type Quest
Message_3_Condition_1_ID 28810
Message_3_Condition_1_Status Completed
Message_3_Condition_1_Logic Not_Equal
Message_3_Responses 2
Message_3_Response_0 6
Message_3_Response_1 7

Message_4_Pages 1
Message_4_Conditions 2
Message_4_Condition_0_Type Quest
Message_4_Condition_0_ID 28810
Message_4_Condition_0_Status Completed
Message_4_Condition_0_Logic Equal
Message_4_Condition_1_Type Quest
Message_4_Condition_1_ID 28815
Message_4_Condition_1_Status None
Message_4_Condition_1_Logic Equal
Message_4_Responses 2
Message_4_Response_0 8
Message_4_Response_1 11

Message_5_Pages 1
Message_5_Conditions 2
Message_5_Condition_0_Type Quest
Message_5_Condition_0_ID 28815
Message_5_Condition_0_Status None
Message_5_Condition_0_Logic Not_Equal
Message_5_Condition_1_Type Quest
Message_5_Condition_1_ID 28815
Message_5_Condition_1_Status Completed
Message_5_Condition_1_Logic Not_Equal
Message_5_Responses 2
Message_5_Response_0 9
Message_5_Response_1 10

Message_6_Pages 1
Message_6_Conditions 2
Message_6_Condition_0_Type Quest
Message_6_Condition_0_ID 28815
Message_6_Condition_0_Status Completed
Message_6_Condition_0_Logic Equal
