GUID 86962b5080c440edb5284420c5457344
Type Quest
ID 26729

Conditions 3
Condition_0_Type Item
Condition_0_ID 5044
Condition_0_Amount 50
Condition_0_Reset
Condition_0_Value True
Condition_1_Type Item
Condition_1_ID 5118
Condition_1_Amount 24
Condition_1_Reset
Condition_1_Value True
Condition_2_Type Item
Condition_2_ID 5508
Condition_2_Amount 20
Condition_2_Reset
Condition_2_Value True

Rewards 3
Reward_0_Type Item
Reward_0_ID 5043
Reward_0_Amount 1
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Short_Random
Reward_2_ID 26705
Reward_2_Min_Value 0
Reward_2_Max_Value 9
Reward_2_Modification Assign

// If you're copying things, at least credit NSTM.
