GUID b7acd49fb4944c458f729602b2da5733
Type Dialogue
ID 4107

Messages 1

Message_0_Pages 1

Responses 31

// Singleshot 12
// Success
Response_0_Dialogue 4108
Response_0_Conditions 2
// Scrap Points
Response_0_Condition_0_Type Flag_Short
Response_0_Condition_0_ID 4015
Response_0_Condition_0_Value 18
Response_0_Condition_0_Logic Greater_Than_Or_Equal_To
// Machine Level
Response_0_Condition_1_Type Flag_Short
Response_0_Condition_1_ID 4018
Response_0_Condition_1_Value 1
Response_0_Condition_1_Logic Greater_Than_Or_Equal_To
Response_0_Rewards 2
// Item
Response_0_Reward_0_Type Item
Response_0_Reward_0_ID 3014
Response_0_Reward_0_Amount 1
Response_0_Reward_0_Barrel 149
Response_0_Reward_0_Sight 146
// Decrement Points
Response_0_Reward_1_Type Flag_Short
Response_0_Reward_1_ID 4015
Response_0_Reward_1_Value 18
Response_0_Reward_1_Modification Decrement

// Failure
Response_1_Dialogue 4109
Response_1_Conditions 2
// Scrap Points
Response_1_Condition_0_Type Flag_Short
Response_1_Condition_0_ID 4015
Response_1_Condition_0_Value 18
Response_1_Condition_0_Logic Less_Than
// Machine Level
Response_1_Condition_1_Type Flag_Short
Response_1_Condition_1_ID 4018
Response_1_Condition_1_Value 1
Response_1_Condition_1_Logic Greater_Than_Or_Equal_To

// Ace
// Success
Response_2_Dialogue 4108
Response_2_Conditions 2
// Scrap Points
Response_2_Condition_0_Type Flag_Short
Response_2_Condition_0_ID 4015
Response_2_Condition_0_Value 24
Response_2_Condition_0_Logic Greater_Than_Or_Equal_To
// Machine Level
Response_2_Condition_1_Type Flag_Short
Response_2_Condition_1_ID 4018
Response_2_Condition_1_Value 2
Response_2_Condition_1_Logic Greater_Than_Or_Equal_To
Response_2_Rewards 2
// Item
Response_2_Reward_0_Type Item
Response_2_Reward_0_ID 107
Response_2_Reward_0_Amount 1
Response_2_Reward_0_Tactical 1007
Response_2_Reward_0_Sight 3074
Response_2_Reward_0_Grip 3103
// Decrement Points
Response_2_Reward_1_Type Flag_Short
Response_2_Reward_1_ID 4015
Response_2_Reward_1_Value 24
Response_2_Reward_1_Modification Decrement

// Failure
Response_3_Dialogue 4109
Response_3_Conditions 2
// Scrap Points
Response_3_Condition_0_Type Flag_Short
Response_3_Condition_0_ID 4015
Response_3_Condition_0_Value 24
Response_3_Condition_0_Logic Less_Than
// Machine Level
Response_3_Condition_1_Type Flag_Short
Response_3_Condition_1_ID 4018
Response_3_Condition_1_Value 2
Response_3_Condition_1_Logic Greater_Than_Or_Equal_To

// Musket
// Success
Response_4_Dialogue 4108
Response_4_Conditions 2
// Scrap Points
Response_4_Condition_0_Type Flag_Short
Response_4_Condition_0_ID 4015
Response_4_Condition_0_Value 24
Response_4_Condition_0_Logic Greater_Than_Or_Equal_To
// Machine Level
Response_4_Condition_1_Type Flag_Short
Response_4_Condition_1_ID 4018
Response_4_Condition_1_Value 3
Response_4_Condition_1_Logic Greater_Than_Or_Equal_To
Response_4_Rewards 2
// Item
Response_4_Reward_0_Type Item
Response_4_Reward_0_ID 3007
Response_4_Reward_0_Amount 1
// Decrement Points
Response_4_Reward_1_Type Flag_Short
Response_4_Reward_1_ID 4015
Response_4_Reward_1_Value 24
Response_4_Reward_1_Modification Decrement

// Failure
Response_5_Dialogue 4109
Response_5_Conditions 2
// Scrap Points
Response_5_Condition_0_Type Flag_Short
Response_5_Condition_0_ID 4015
Response_5_Condition_0_Value 24
Response_5_Condition_0_Logic Less_Than
// Machine Level
Response_5_Condition_1_Type Flag_Short
Response_5_Condition_1_ID 4018
Response_5_Condition_1_Value 3
Response_5_Condition_1_Logic Greater_Than_Or_Equal_To

// Heavy Crossbow
// Success
Response_6_Dialogue 4108
Response_6_Conditions 2
// Scrap Points
Response_6_Condition_0_Type Flag_Short
Response_6_Condition_0_ID 4015
Response_6_Condition_0_Value 30
Response_6_Condition_0_Logic Greater_Than_Or_Equal_To
// Crossbow Quest
Response_6_Condition_1_Type Quest
Response_6_Condition_1_Logic Equal
Response_6_Condition_1_ID 4173
Response_6_Condition_1_Status Completed
Response_6_Rewards 2
// Item
Response_6_Reward_0_Type Item
Response_6_Reward_0_ID 3100
Response_6_Reward_0_Amount 1
// Decrement Points
Response_6_Reward_1_Type Flag_Short
Response_6_Reward_1_ID 4015
Response_6_Reward_1_Value 30
Response_6_Reward_1_Modification Decrement

// Failure
Response_7_Dialogue 4109
Response_7_Conditions 2
// Scrap Points
Response_7_Condition_0_Type Flag_Short
Response_7_Condition_0_ID 4015
Response_7_Condition_0_Value 30
Response_7_Condition_0_Logic Less_Than
// Machine Level
Response_7_Condition_1_Type Quest
Response_7_Condition_1_Logic Equal
Response_7_Condition_1_ID 4173
Response_7_Condition_1_Status Completed

// Colt
// Success
Response_8_Dialogue 4108
Response_8_Conditions 2
// Scrap Points
Response_8_Condition_0_Type Flag_Short
Response_8_Condition_0_ID 4015
Response_8_Condition_0_Value 7
Response_8_Condition_0_Logic Greater_Than_Or_Equal_To
// Machine Level
Response_8_Condition_1_Type Flag_Short
Response_8_Condition_1_ID 4018
Response_8_Condition_1_Value 4
Response_8_Condition_1_Logic Greater_Than_Or_Equal_To
Response_8_Rewards 2
// Item
Response_8_Reward_0_Type Item
Response_8_Reward_0_ID 97
Response_8_Reward_0_Amount 1
// Decrement Points
Response_8_Reward_1_Type Flag_Short
Response_8_Reward_1_ID 4015
Response_8_Reward_1_Value 7
Response_8_Reward_1_Modification Decrement

// Failure
Response_9_Dialogue 4109
Response_9_Conditions 2
// Scrap Points
Response_9_Condition_0_Type Flag_Short
Response_9_Condition_0_ID 4015
Response_9_Condition_0_Value 7
Response_9_Condition_0_Logic Less_Than
// Machine Level
Response_9_Condition_1_Type Flag_Short
Response_9_Condition_1_ID 4018
Response_9_Condition_1_Value 4
Response_9_Condition_1_Logic Greater_Than_Or_Equal_To

// Sportshot
// Success
Response_10_Dialogue 4108
Response_10_Conditions 2
// Scrap Points
Response_10_Condition_0_Type Flag_Short
Response_10_Condition_0_ID 4015
Response_10_Condition_0_Value 8
Response_10_Condition_0_Logic Greater_Than_Or_Equal_To
// Machine Level
Response_10_Condition_1_Type Flag_Short
Response_10_Condition_1_ID 4018
Response_10_Condition_1_Value 4
