Message_0_Page_0 What can I make for you?

Response_0 Upgraded <color=uncommon>Single Shot Shotgun</color>
Response_1 Upgraded <color=uncommon>Single Shot Shotgun</color>
Response_2 Upgraded <color=uncommon>Ace</color>
Response_3 Upgraded <color=uncommon>Ace</color>
Response_4 Upgraded <color=uncommon>Musket</color>
Response_5 Upgraded <color=uncommon>Musket</color>
Response_6 <color=rare>Heavy Crossbow</color>
Response_7 <color=rare>Heavy Crossbow</color>
Response_8 <color=uncommon>1911</color>
Response_9 <color=uncommon>1911</color>
Response_10 <color=uncommon>Sportshot</color>
Response_11 <color=uncommon>Sportshot</color>
Response_12 <color=rare>Avenger</color>
Response_13 <color=rare>Avenger</color>
Response_14 <color=rare>Corsican</color>
Response_15 <color=rare>Corsican</color>
Response_16 <color=rare>Cobra</color>
Response_17 <color=rare>Cobra</color>
Response_18 <color=uncommon>Hawkhound</color>
Response_19 <color=uncommon>Hawkhound</color>
Response_20 <color=epic>Fusilette</color>
Response_21 <color=epic>Fusilette</color>
Response_22 <color=epic>Genaugewehr</color>
Response_23 <color=epic>Genaugewehr</color>
Response_24 <color=epic>Maplestrike</color>
Response_25 <color=epic>Maplestrike</color>
Response_26 <color=rare>Eaglefire</color>
Response_27 <color=rare>Eaglefire</color>
Response_28 <color=epic>Herstal</color>
Response_29 <color=epic>Herstal</color>
Response_30 Nevermind.
