GUID 39fbbf056a2046a2aa2be47a619c996f
//								👁								
//						👁				👁						
//				  👁						  👁				
//           👁										👁			
//		  👁										   👁		
//	    👁												 👁		
//	  👁						👁						   👁	
//   👁						👁		👁						👁	
//  👁					  👁	👁	  👁					 👁	
//   👁						👁		👁						👁	
//	  👁						👁						   👁	
//	    👁												 👁		
//		  👁										   👁		
//            👁									👁			
//				  👁						  👁				
//						👁				👁						
//								👁								

Type Quest
ID 29705

// Eyes
Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 29706
Condition_0_Value 3
Condition_0_Logic Equal

Rewards 4
Reward_0_Type Experience
Reward_0_Value 300
Reward_1_Type Reputation
Reward_1_Value 25
Reward_2_Type Flag_Bool
Reward_2_ID 29719
Reward_2_Value True
Reward_3_Type Achievement
Reward_3_ID Kuwait_AlwaysWatching

// It knows where you are.
