GUID 4c2d26d35d54431ea3ba803ea4d4036f
Type Quest
ID 25620

Conditions 5
Condition_0_Type Item
Condition_0_ID 5003
Condition_0_Amount 1
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 6
Condition_1_Amount 30
Condition_1_Value True
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5507
Condition_2_Amount 5
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 5503 
Condition_3_Amount 1
Condition_3_Reset
Condition_4_Type Item
Condition_4_ID 67 
Condition_4_Amount 5
Condition_4_Reset

Rewards 3
Reward_0_Type Item
Reward_0_ID 5042
Reward_0_Amount 0
Reward_1_Type Experience
Reward_1_Value 25
Reward_2_Type Reputation
Reward_2_Value 5

// If you're copying things, at least credit NSTM.
