GUID 3c77ee7adeec48018d76eb0aca41b88a
Type Spawn
ID 7039
Tables 24
Table_0_Asset_ID 5606
Table_0_Weight 1
Table_1_Asset_ID 5601
Table_1_Weight 1
Table_2_Asset_ID 5602
Table_2_Weight 1
Table_3_Asset_ID 5603
Table_3_Weight 1
Table_4_Asset_ID 5604
Table_4_Weight 1
Table_5_Asset_ID 5605
Table_5_Weight 1
Table_6_Asset_ID 5607
Table_6_Weight 1
Table_7_Asset_ID 5608
Table_7_Weight 1
Table_8_Asset_ID 5619
Table_8_Weight 3
Table_9_Asset_ID 5620
Table_9_Weight 3
Table_10_Asset_ID 5621
Table_10_Weight 3
Table_11_Asset_ID 5622
Table_11_Weight 3
Table_12_Asset_ID 5623
Table_12_Weight 3
Table_13_Asset_ID 5624
Table_13_Weight 3
Table_14_Asset_ID 5625
Table_14_Weight 3
Table_15_Asset_ID 5626
Table_15_Weight 3
Table_16_Asset_ID 5610
Table_16_Weight 5
Table_17_Asset_ID 5611
Table_17_Weight 5
Table_18_Asset_ID 5612
Table_18_Weight 5
Table_19_Asset_ID 5613
Table_19_Weight 5
Table_20_Asset_ID 5614
Table_20_Weight 5
Table_21_Asset_ID 5615
Table_21_Weight 5
Table_22_Asset_ID 5616
Table_22_Weight 5
Table_23_Asset_ID 5617
Table_23_Weight 3


