GUID 484a6f7fd56346e6a25cdf2102cbde7c
Type NPC
ID 26354

// Hat 5325
Shirt 5316
Pants 5322 

Face 23
Hair 14
Beard 0
Color_Skin #BEA582
Color_Hair #CDC08C

Primary 5042
// Tertiary 81
// Equipped Tertiary
// Pose Asleep
// Pose Sit

Dialogue 26380

Conditions 3
Condition_0_Type Flag_Bool
Condition_0_ID 26515
Condition_0_Value True
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 25050
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset
Condition_2_Type Time_Of_Day
Condition_2_Second 68400
Condition_2_Logic Greater_Than_Or_Equal_To

// If you're copying things, at least credit NSTM.
