GUID 7e760af6bef341c893b030abaf3bf0d1
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 5005

Size_X 3
Size_Y 2
Size_Z 0.45

Sight 5007
Magazine 5006

Hook_Tactical

Ammo_Min 1
Ammo_Max 7

Safety
Semi

Caliber 5005

Range 500
Firerate 32
Action Bolt

Player_Damage 90
Player_Leg_Multiplier 0.65
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 199
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.3

Animal_Damage 70
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.1

Barricade_Damage 45
Structure_Damage 25
Vehicle_Damage 85
Resource_Damage 95
Object_Damage 25

Invulnerable

Durability 0.45

Spread_Aim 0.01
Spread_Hip 0.265

Recoil_Aim 0.9
Recoil_Min_X -8.57
Recoil_Min_Y 35
Recoil_Max_X 8.57
Recoil_Max_Y 40

Recover_X 0.275
Recover_Y 0.275

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Gunshot_Rolloff_Distance 1750

Can_Use_Underwater False

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Item
Blueprint_0_Condition_0_ID 5112
Blueprint_0_Condition_0_Amount 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5005
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 3
Blueprint_2_Tool 5112
Blueprint_2_Tool_Critical
Blueprint_2_Level 3
Blueprint_2_Skill Repair
Blueprint_2_Build 27
