GUID bc132e8d89044e6fab5a2493a6be3397
Type Spawn
ID 7147

Tables 25
Table_0_Asset_ID 44
Table_0_Weight 5
Table_1_Asset_ID 43
Table_1_Weight 4
Table_2_Asset_ID 6
Table_2_Weight 3
Table_3_Asset_ID 5001
Table_3_Weight 2
Table_4_Asset_ID 5013
Table_4_Weight 2
Table_5_Asset_ID 5121
Table_5_Weight 2
Table_6_Asset_ID 5056
Table_6_Weight 1
Table_7_Asset_ID 5057
Table_7_Weight 1
Table_8_Asset_ID 5058
Table_8_Weight 1
Table_9_Asset_ID 5059
Table_9_Weight 1
Table_10_Asset_ID 5077
Table_10_Weight 1
Table_11_Asset_ID 5061
Table_11_Weight 1
Table_12_Asset_ID 5062
Table_12_Weight 1
Table_13_Asset_ID 5063
Table_13_Weight 1
Table_14_Asset_ID 5066
Table_14_Weight 1
Table_15_Asset_ID 5067
Table_15_Weight 1
Table_16_Asset_ID 5068
Table_16_Weight 1
Table_17_Asset_ID 5069
Table_17_Weight 1
Table_18_Asset_ID 5070
Table_18_Weight 1
Table_19_Asset_ID 5071
Table_19_Weight 1
Table_20_Asset_ID 5075
Table_20_Weight 1
Table_21_Asset_ID 5076
Table_21_Weight 1
Table_22_Asset_ID 119
Table_22_Weight 4
Table_23_Asset_ID 1192
Table_23_Weight 2
Table_24_Asset_ID 1193
Table_24_Weight 2

