GUID 7ecfa2a790ca4c33b0042b4dde536865
Type Dialogue
ID 27511

// Weston is the Cynthia equivalent for the survivor camp.
// I'm back Amy! Please give me a hug.
Messages 3

Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 29302
Message_0_Condition_0_Value 0
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset
// Randomize Again.
Message_0_Rewards 1
Message_0_Reward_0_Type Flag_Short_Random
Message_0_Reward_0_ID 29302
Message_0_Reward_0_Min_Value 0
Message_0_Reward_0_Max_Value 2
Message_0_Reward_0_Modification Assign

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 29302
Message_1_Condition_0_Value 1
Message_1_Condition_0_Logic Equal
Message_1_Condition_0_Allow_Unset
// Randomize Again.
Message_1_Rewards 1
Message_1_Reward_0_Type Flag_Short_Random
Message_1_Reward_0_ID 29302
Message_1_Reward_0_Min_Value 0
Message_1_Reward_0_Max_Value 2
Message_1_Reward_0_Modification Assign

Message_2_Pages 1
Message_2_Conditions 1
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 29302
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Equal
Message_2_Condition_0_Allow_Unset
// Randomize Again.
Message_2_Rewards 1
Message_2_Reward_0_Type Flag_Short_Random
Message_2_Reward_0_ID 29302
Message_2_Reward_0_Min_Value 0
Message_2_Reward_0_Max_Value 2
Message_2_Reward_0_Modification Assign

Responses 4

// Guns
Response_0_Vendor 29323
Response_0_Dialogue 27512
Response_0_Conditions 1
Response_0_Condition_0_Type Flag_Bool
Response_0_Condition_0_ID 29320
Response_0_Condition_0_Value True
Response_0_Condition_0_Logic Equal

// Equipment
Response_1_Vendor 29324
Response_1_Dialogue 27512
Response_1_Conditions 1
Response_1_Condition_0_Type Flag_Bool
Response_1_Condition_0_ID 29320
Response_1_Condition_0_Value True
Response_1_Condition_0_Logic Equal

// Attachments
Response_2_Vendor 29328
Response_2_Dialogue 27512
Response_2_Conditions 1
Response_2_Condition_0_Type Flag_Bool
Response_2_Condition_0_ID 29320
Response_2_Condition_0_Value True
Response_2_Condition_0_Logic Equal
