GUID 03ff89b3f9c44a81b0049d823ef42200
Type Quest
ID 26727

Conditions 5
Condition_0_Type Item
Condition_0_ID 5008
Condition_0_Amount 2
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5120
Condition_1_Amount 30
Condition_1_Value True
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5096
Condition_2_Amount 2
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 5022
Condition_3_Amount 1
Condition_3_Reset
Condition_4_Type Item
Condition_4_ID 1029
Condition_4_Amount 25
Condition_4_Value True
Condition_4_Reset

Rewards 3
Reward_0_Type Item
Reward_0_ID 5043
Reward_0_Amount 1
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Short_Random
Reward_2_ID 26705
Reward_2_Min_Value 0
Reward_2_Max_Value 9
Reward_2_Modification Assign

// If you're copying things, at least credit NSTM.
