GUID ca834a464cb846338dcf502b1cca6e34
Type Generator
Rarity Rare
Useable Barricade
Build Generator
ID 5780

Size_X 3
Size_Y 3
Size_Z 0.5

Health 600
Range 4
Radius 1.25
Offset 1.5

Capacity 20000
Wirerange 64.0
Burn 5

Explosion 36

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5781
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
Blueprint_1_Type Utilities
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5781
Blueprint_1_Supply_0_Amount 7
Blueprint_1_Tool 5112
Blueprint_1_Tool_Critical
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 27
Blueprint_1_Map Kuwait
PlacementAudioClip Sounds/MetalPlacement.mp3

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Generator_Large
