GUID 55b18be2a35d40c7817e69240a7716ad
Type Barricade
Rarity Epic
Useable Barricade
Build Gate
ID 5779

Size_X 2
Size_Y 1
Size_Z 0.35

Health 900
Range 4
Radius 1.5
Offset 1.25

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 9
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
PlacementAudioClip Sounds/MetalPlacement.mp3

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Gate_Metal
