GUID 497c4653f84f4cb8ac8355cd1f1be6c0
Type Hat
Rarity Legendary
Useable Clothing
ID 5652

Size_X 2
Size_Y 2
Size_Z 0.35

Beard

Armor 0.825

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5652
Blueprint_0_Product 67
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Hats/Military_Helmet_Spec_Ops
