GUID 4f462ca37faa44079c1d7c1700869be0
Type Backpack
Useable Clothing
ID 5340

Size_X 2
Size_Y 2
Size_Z 0.6

Width 5
Height 5

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 516
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 32
Blueprint_0_Map Kuwait
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 516
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32
Blueprint_1_Map Kuwait
Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 5340
Blueprint_2_Product 516
Blueprint_2_Products 1
Blueprint_2_Build 32
Blueprint_2_Map Kuwait
