GUID b21f57bf386d408aa1f59a7b7a739871
Type Barricade
Rarity Epic
Useable Barricade
Build Gate
ID 5769

Size_X 1
Size_Y 2
Size_Z 0.65

Health 1000
Range 4
Radius 1.5
Offset 1.25

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
PlacementAudioClip Sounds/MetalPlacement.mp3

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Doubledoor_Metal
