GUID 178bceb21e2d40ecbfffd8f9cb981d1f
Type Quest
ID 27022

Conditions 1
Condition_0_Type Kills_Horde
Condition_0_ID 27032
Condition_0_Value 3
Condition_0_Nav 0

Rewards 4
Reward_0_Type Currency
Reward_0_Value 1000
Reward_0_GUID b76b37b2d40c4054b850458e135408c6
Reward_1_Type Reputation
Reward_1_Value 50
Reward_2_Type Flag_Bool
Reward_2_ID 27037
Reward_2_Value True
Reward_3_Type Flag_Bool
Reward_3_ID 27003
Reward_3_Value False

// If you're copying things, at least credit NSTM.
// Broken for now. Was orginally intended to be one horde, one "all" boss zombie, but that doesn't work, as it seems there's a bug with an "all" zombie being in a navmesh.
// In the meantime, it has been replaced with 3 hordes.
