GUID 64ac1a15639447428b909ca8b8c1b5c2
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 5122

Size_X 4
Size_Y 2
Size_Z 0.4

Sight 5123
Magazine 6

Hook_Sight
Hook_Grip
Hook_Barrel

Ammo_Min 7
Ammo_Max 30

Safety
Semi

Caliber 1

Range 210
Firerate 5
Action Trigger

Player_Damage 35
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.6
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 30
Structure_Damage 25
Vehicle_Damage 45
Resource_Damage 30
Object_Damage 35

Durability 0.3

Spread_Aim 0.1
Spread_Hip 0.15

Recoil_Min_X 1.5
Recoil_Min_Y -5
Recoil_Max_X 3.5
Recoil_Max_Y -10

Recoil_Crouch 0.85
Recoil_Prone .8

Spread_Prone 0.8
Spread_Crouch 0.85

Recover_X 1
Recover_Y 1.5

Shake_Min_X -0.0055
Shake_Min_Y 0.0075
Shake_Min_Z -0.02
Shake_Max_X 0.01
Shake_Max_Y -0.005
Shake_Max_Z -0.055

Muzzle 3

Gunshot_Rolloff_Distance 1250

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Item
Blueprint_0_Condition_0_ID 5112
Blueprint_0_Condition_0_Amount 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5122
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 2
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Tool 5112
Blueprint_2_Tool_Critical
Blueprint_2_Build 27
