GUID 59e3c169b1ba4b06816406c5a00e8274
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 3056

Size_X 5
Size_Y 2
Size_Z 0.35

Magazine 3057

Ammo_Min 40
Ammo_Max 80

Safety
Auto

Caliber 70

Firerate 2
Replace 0.6
Unplace 0.33
Action Trigger


Player_Damage 30
Zombie_Damage 150
Animal_Damage 120
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Range 4.5
Explosion 119


Spread_Aim 0.5
Spread_Hip 0.5

Ballistic_Force 1200

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Durability 0.105

Recover_X 0
Recover_Y 0

Shake_Min_X -0.01
Shake_Min_Y -0.005
Shake_Min_Z -0.02
Shake_Max_X 0.01
Shake_Max_Y -0.02
Shake_Max_Z -0.04

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3056
Blueprint_1_Product 67
Blueprint_1_Products 5
Blueprint_1_Build 27

// Flags which control jamming:
Can_Ever_Jam
Jam_Quality_Threshold 0.5
Jam_Max_Chance .13

Asset_Bundle_Version 3
