GUID ebee43641b964e5ab26af86009447799
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 51212

Size_X 5
Size_Y 2
Size_Z 0.415

Magazine 381

Hook_Tactical

Ammo_Min 1
Ammo_Max 2

Safety
Semi

Caliber 16

Range 35
Firerate 5
Action Break

Player_Damage 20
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 30
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 30
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.3

Spread_Aim 0.9
Spread_Hip 0.08

Ballistic_Steps 3

Recoil_Min_X -6
Recoil_Min_Y 22
Recoil_Max_X 6
Recoil_Max_Y 24

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.2
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.21

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 51212
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
