GUID 17d903c86d124c6dada30ee6da5a8f41
Type Quest
ID 27257

Conditions 6
Condition_0_Type Item
Condition_0_ID 5535
Condition_0_Amount 1
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 76
Condition_1_Amount 1
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 277
Condition_2_Amount 1
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 1507
Condition_3_Amount 1
Condition_3_Reset
Condition_4_Type Item
Condition_4_ID 5103
Condition_4_Amount 1
Condition_4_Reset
Condition_5_Type Item
Condition_5_ID 5083
Condition_5_Amount 1
Condition_5_Reset

Rewards 4
Reward_0_Type Currency
Reward_0_Value 50
Reward_0_GUID b76b37b2d40c4054b850458e135408c6
Reward_1_Type Reputation
Reward_1_Value 5
Reward_2_Type Flag_Short_Random
Reward_2_ID 27000
Reward_2_Min_Value 4
Reward_2_Max_Value 6
Reward_2_Modification Increment
Reward_3_Type Flag_Short
Reward_3_ID 27350
Reward_3_Value 5
Reward_3_Modification Increment

// If you're copying things, at least credit NSTM.
