GUID ef10d485405140369c2c740ee492fca6
Type Dialogue
ID 27001

// As leader, Issac will have you take Operations as you complete quests.
Messages 7
// Intro
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Bool
Message_0_Condition_0_ID 27001
Message_0_Condition_0_Value False
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset
Message_0_Responses 1
Message_0_Response_0 0
Message_0_Rewards 1
Message_0_Reward_0_Type Flag_Short_Random
Message_0_Reward_0_ID 27002
Message_0_Reward_0_Min_Value 0
Message_0_Reward_0_Max_Value 2
Message_0_Reward_0_Modification Assign

// Operation 1
Message_1_Pages 1
Message_1_Conditions 2
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 27000
Message_1_Condition_0_Value 15
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To
Message_1_Condition_1_Type Quest
Message_1_Condition_1_ID 27020
Message_1_Condition_1_Status None
Message_1_Condition_1_Logic Equal
Message_1_Responses 2
Message_1_Response_0 1
Message_1_Response_1 13

// Operation 2
Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 27000
Message_2_Condition_0_Value 40
Message_2_Condition_0_Logic Greater_Than_Or_Equal_To
Message_2_Condition_1_Type Quest
Message_2_Condition_1_ID 27021
Message_2_Condition_1_Status None
Message_2_Condition_1_Logic Equal
Message_2_Condition_2_Type Quest
Message_2_Condition_2_ID 27020
Message_2_Condition_2_Status Completed
Message_2_Condition_2_Logic Equal
Message_2_Responses 2
Message_2_Response_0 2
Message_2_Response_1 13

// Operation 3
Message_3_Pages 1
Message_3_Conditions 3
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 27000
Message_3_Condition_0_Value 75
Message_3_Condition_0_Logic Greater_Than_Or_Equal_To
Message_3_Condition_1_Type Quest
Message_3_Condition_1_ID 27022
Message_3_Condition_1_Status None
Message_3_Condition_1_Logic Equal
Message_3_Condition_2_Type Quest
Message_3_Condition_2_ID 27021
Message_3_Condition_2_Status Completed
Message_3_Condition_2_Logic Equal
Message_3_Responses 2
Message_3_Response_0 3
Message_3_Response_1 13

// Randomized 1
Message_4_Pages 1
Message_4_Conditions 1
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 27002
Message_4_Condition_0_Value 0
Message_4_Condition_0_Logic Equal
