GUID 3afb747dcfa5430aa78eca30a715cf4a
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 5022

Size_X 4
Size_Y 2
Size_Z 0.3

Sight 5023
Magazine 1029

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 10
Ammo_Max 25

Safety
Semi
Auto

Caliber 25

Range 200
Firerate 6
Action Trigger

Player_Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 75
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 20
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.3

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X -3.5
Recoil_Min_Y 3
Recoil_Max_X -6
Recoil_Max_Y 5

Recoil_Crouch 0.9
Recoil_Prone .85

Spread_Prone 0.85
Spread_Crouch 0.9

Recover_X 0.9
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.0025
Shake_Max_X 0.005
Shake_Max_Y -0.0015
Shake_Max_Z -0.025

Muzzle 3

Gunshot_Rolloff_Distance 500

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Item
Blueprint_0_Condition_0_ID 5112
Blueprint_0_Condition_0_Amount 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5022
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Tool 5112
Blueprint_2_Tool_Critical
Blueprint_2_Level 1
Blueprint_2_Skill Repair
Blueprint_2_Build 27
