GUID 52bc9d6185da40c1a8bd5bba39fd91c8
Type Hat
Rarity Uncommon
Useable Clothing
ID 5646

Size_X 2
Size_Y 2
Size_Z 0.35

Beard

Armor 0.95

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5646
Blueprint_0_Product 66
Blueprint_0_Products 3
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Hats/Chef_Hat
