GUID a268d99973cd40d2a36b1ccc6e9c8902
Type Spawn
ID 7038
Tables 27
Table_0_Asset_ID 5707
Table_0_Weight 1
Table_1_Asset_ID 5708
Table_1_Weight 1
Table_2_Asset_ID 5709
Table_2_Weight 1
Table_3_Asset_ID 5710
Table_3_Weight 1
Table_4_Asset_ID 5711
Table_4_Weight 1
Table_5_Asset_ID 5712
Table_5_Weight 1
Table_6_Asset_ID 5713
Table_6_Weight 1
Table_7_Asset_ID 5714
Table_7_Weight 1
Table_8_Asset_ID 5726
Table_8_Weight 3
Table_9_Asset_ID 5727
Table_9_Weight 3
Table_10_Asset_ID 5728
Table_10_Weight 3
Table_11_Asset_ID 5729
Table_11_Weight 3
Table_12_Asset_ID 5730
Table_12_Weight 3
Table_13_Asset_ID 5731
Table_13_Weight 3
Table_14_Asset_ID 5732
Table_14_Weight 3
Table_15_Asset_ID 5733
Table_15_Weight 3
Table_16_Asset_ID 5718
Table_16_Weight 5
Table_17_Asset_ID 5719
Table_17_Weight 5
Table_18_Asset_ID 5720
Table_18_Weight 5
Table_19_Asset_ID 5721
Table_19_Weight 5
Table_20_Asset_ID 5722
Table_20_Weight 5
Table_21_Asset_ID 5723
Table_21_Weight 5
Table_22_Asset_ID 5723
Table_22_Weight 5
Table_23_Asset_ID 5329
Table_23_Weight 3
Table_24_Asset_ID 5735
Table_24_Weight 2
Table_25_Asset_ID 5724
Table_25_Weight 5
Table_26_Asset_ID 5725
Table_26_Weight 5
