GUID 6efbaac6c6004c2391731dc0e5d5f4aa
Type Vest
Rarity Uncommon
Useable Clothing
ID 5311

Size_X 2
Size_Y 2
Size_Z 0.6

Width 3
Height 3

Armor 0.85

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5311
Blueprint_0_Product 67
Blueprint_0_Products 2
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Build 32
Blueprint_2_Type Apparel
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 68
Blueprint_2_Supply_0_Amount 5
Blueprint_2_Supply_1_ID 5536
Blueprint_2_Supply_1_Amount 3
Blueprint_2_Conditions 1
Blueprint_2_Condition_0_Type Quest
Blueprint_2_Condition_0_ID 28008
Blueprint_2_Condition_0_Status Completed
Blueprint_2_Condition_0_Logic Equal
Blueprint_2_Build 32
