GUID 41b1019b4d2c44ceb1c784dfca36fa48
Type Trap
Rarity Uncommon
Useable Barricade
Build Wire
ID 5747

Size_X 2
Size_Y 1
Size_Z 0.2

Health 70
Range 4
Radius 0.15
Offset 0.2

Player_Damage 40
Zombie_Damage 80
Animal_Damage 80

Explosion 36
Vulnerable
Unrepairable

Allow_Placement_On_Vehicle False

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_0_Map Kuwait

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Barbedwire
