Message_0_Page_0 Heyo, you should talk to <color=legendary>Issac</color> over at the east first.
Message_1_Page_0 Ya got an op to do, talk to <color=legendary>Issac</color>.
Message_2_Page_0 'Nother op <name_char>, chat up <color=legendary>Issac</color>.
Message_3_Page_0 Got another op, go talk to <color=legendary>Issac</color>.
Message_4_Page_0 Heyo.
Message_5_Page_0 What's up <name_char>?
Message_6_Page_0 Looking for somethin' eh <name_char>?

Response_0 Alright.
// Post talked to Issac
Response_1 Who are you?
Response_2 Need any help?
Response_3 Need any help?
Response_4 Need any help?
Response_5 Got your supplies.
Response_6 Got more supplies.
Response_7 Got the tech.
Response_8 Need any help?
Response_9 Could you fix this?
Response_10 I've got your tools!
Response_11 I've got extra supplies.
Response_12 Goodbye.
