GUID 88f7058e110840fc903e7e5ecef69c10
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 3002

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.8

Sight 3003
Magazine 3004

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 60

Range 225
Firerate 50
Action Bolt

Player_Damage 80
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.2

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 20

Durability 0.5

Spread_Aim 0.01
Spread_Hip 0.57

Ballistic_Travel 15

Recoil_Aim 0.45
Recoil_Min_X -4
Recoil_Min_Y 23
Recoil_Max_X 4
Recoil_Max_Y 29

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3002
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
