GUID 42c83dd8cd56470baae625c6595314f0
Type Dialogue
ID 29601

Messages 3

Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 29302
Message_0_Condition_0_Value 0
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset
// Randomize Again.
Message_0_Rewards 1
Message_0_Reward_0_Type Flag_Short_Random
Message_0_Reward_0_ID 29302
Message_0_Reward_0_Min_Value 0
Message_0_Reward_0_Max_Value 2
Message_0_Reward_0_Modification Assign

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 29302
Message_1_Condition_0_Value 1
Message_1_Condition_0_Logic Equal
Message_1_Condition_0_Allow_Unset
// Randomize Again.
Message_1_Rewards 1
Message_1_Reward_0_Type Flag_Short_Random
Message_1_Reward_0_ID 29302
Message_1_Reward_0_Min_Value 0
Message_1_Reward_0_Max_Value 2
Message_1_Reward_0_Modification Assign

Message_2_Pages 1
Message_2_Conditions 1
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 29302
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Equal
Message_2_Condition_0_Allow_Unset
// Randomize Again.
Message_2_Rewards 1
Message_2_Reward_0_Type Flag_Short_Random
Message_2_Reward_0_ID 29302
Message_2_Reward_0_Min_Value 0
Message_2_Reward_0_Max_Value 2
Message_2_Reward_0_Modification Assign

Responses 5

Response_0_Dialogue 29602
Response_0_Quest 29605
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 29605
Response_0_Condition_0_Status None
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 29605

Response_1_Dialogue 29603
Response_1_Quest 29605
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 29605
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

Response_2_Dialogue 29606
Response_2_Quest 29608
Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 29608
Response_2_Condition_0_Status None
Response_2_Condition_1_Type Quest
Response_2_Condition_1_Logic Equal
Response_2_Condition_1_ID 29605
Response_2_Condition_1_Status Completed
Response_2_Rewards 1
Response_2_Reward_0_Type Quest
Response_2_Reward_0_ID 29608

Response_3_Dialogue 29607
Response_3_Quest 29608
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_ID 29608
Response_3_Condition_0_Status Ready
Response_3_Condition_0_Reset
