GUID 315cb1f8fd764f6ba7fa6a95088f6ed1
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 5111

Size_X 2
Size_Y 3
Size_Z 0.75

BladeIDs 2
BladeID_0 2
BladeID_1 0

Range 2
Strength 1.3
Weak 0.3
Strong 0.4
Stamina 15

Player_Damage 50
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.1

Zombie_Damage 60
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 75
Structure_Damage 75
Vehicle_Damage 15
Resource_Damage 250
Object_Damage 150

Durability 0.3

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 5086
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 5088
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 5547
Blueprint_0_Supply_2_Amount 3
Blueprint_0_Supply_3_ID 67
Blueprint_0_Supply_3_Amount 3
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
Blueprint_1_Type Repair
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Supply_1_ID 5548
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Build 27
Blueprint_1_Map Kuwait
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 5111
Blueprint_2_Product 67
Blueprint_2_Products 2
Blueprint_2_Build 27
Blueprint_2_Map Kuwait

