GUID 04a7ef6f297547a082cfac0d292fb047
Type Hat
Rarity Uncommon
Useable Clothing
ID 5649

Size_X 2
Size_Y 2
Size_Z 0.35

Beard

Armor 0.9

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5649
Blueprint_0_Product 67
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Hats/Firefighter_Helmet
