Message_0_Page_0 Heya, <name_char>.
Message_1_Page_0 What's up, <name_char>?
Message_2_Page_0 Need somethin, <name_char>?
Message_3_Page_0 <i>darn thing always jams.</i>

Response_0 Got anything to do?
Response_1 Got anything to do?
Response_2 I've got the equipment!
Response_3 Got anything to do?
Response_4 Got anything to do?
Response_5 I've got the equipment!
Response_6 Got anything to do?
Response_7 Got anything to do?
Response_8 I've got the equipment!
Response_9 Got anything to do?
Response_10 Got anything to do?
Response_11 I've got the equipment!
Response_12 Got anything to do?
Response_13 Got anything to do?
Response_14 I've got the equipment!
Response_15 Got anything to do?
Response_16 Got anything to do?
Response_17 I've got the equipment!
Response_18 Got anything to do?
Response_19 Got anything to do?
Response_20 I've got the equipment!
Response_21 Got anything to do?
Response_22 Got anything to do?
Response_23 I've got the equipment!
Response_24 Got anything to do?
Response_25 Got anything to do?
Response_26 I've got the equipment!
Response_27 Got anything to do?
Response_28 Got anything to do?
Response_29 I've got the equipment!
Response_30 Do you have any good leadership tips?
Response_31 Goodbye.
Response_32 Uhh...
