GUID cb8ec75fb4474790812403da4dc33815
Type Dialogue
ID 28101

Messages 7

// Randomized 1
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 28000
Message_0_Condition_0_Value 0
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset
// Randomize Again.
Message_0_Rewards 1
Message_0_Reward_0_Type Flag_Short_Random
Message_0_Reward_0_ID 28000
Message_0_Reward_0_Min_Value 0
Message_0_Reward_0_Max_Value 2
Message_0_Reward_0_Modification Assign

// Randomized 2
Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 28000
Message_1_Condition_0_Value 1
Message_1_Condition_0_Logic Equal
// Randomize Again.
Message_1_Rewards 1
Message_1_Reward_0_Type Flag_Short_Random
Message_1_Reward_0_ID 28000
Message_1_Reward_0_Min_Value 0
Message_1_Reward_0_Max_Value 2
Message_1_Reward_0_Modification Assign

// Randomized 3 (Morning, 4 to 6)
Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 28000
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Equal
Message_2_Condition_1_Type Time_Of_Day
Message_2_Condition_1_Second 14400
Message_2_Condition_1_Logic Greater_Than
Message_2_Condition_2_Type Time_Of_Day
Message_2_Condition_2_Second 21600
Message_2_Condition_2_Logic Less_Than_Or_Equal_To
// Randomize Again.
Message_2_Rewards 1
Message_2_Reward_0_Type Flag_Short_Random
Message_2_Reward_0_ID 28000
Message_2_Reward_0_Min_Value 0
Message_2_Reward_0_Max_Value 2
Message_2_Reward_0_Modification Assign

// Randomized 3 (Morning, 6 to 9)
Message_3_Pages 1
Message_3_Conditions 3
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 28000
Message_3_Condition_0_Value 2
Message_3_Condition_0_Logic Equal
Message_3_Condition_1_Type Time_Of_Day
Message_3_Condition_1_Second 21600
Message_3_Condition_1_Logic Greater_Than
Message_3_Condition_2_Type Time_Of_Day
Message_3_Condition_2_Second 32400
Message_3_Condition_2_Logic Less_Than_Or_Equal_To
// Randomize Again.
Message_3_Rewards 1
Message_3_Reward_0_Type Flag_Short_Random
Message_3_Reward_0_ID 28000
Message_3_Reward_0_Min_Value 0
Message_3_Reward_0_Max_Value 2
Message_3_Reward_0_Modification Assign

// Randomized 3 (Afternoon, 9am to 6pm)
Message_4_Pages 1
Message_4_Conditions 3
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 28000
Message_4_Condition_0_Value 2
Message_4_Condition_0_Logic Equal
Message_4_Condition_1_Type Time_Of_Day
Message_4_Condition_1_Second 32400
Message_4_Condition_1_Logic Greater_Than
Message_4_Condition_2_Type Time_Of_Day
Message_4_Condition_2_Second 64800
Message_4_Condition_2_Logic Less_Than_Or_Equal_To
// Randomize Again.
Message_4_Rewards 1
Message_4_Reward_0_Type Flag_Short_Random
Message_4_Reward_0_ID 28000
Message_4_Reward_0_Min_Value 0
Message_4_Reward_0_Max_Value 2
Message_4_Reward_0_Modification Assign

// Randomized 3 (Evening, 6pm to 12)
Message_5_Pages 1
Message_5_Conditions 2
Message_5_Condition_0_Type Flag_Short
Message_5_Condition_0_ID 28000
Message_5_Condition_0_Value 2
Message_5_Condition_0_Logic Equal
Message_5_Condition_1_Type Time_Of_Day
Message_5_Condition_1_Second 64800
Message_5_Condition_1_Logic Greater_Than
// Randomize Again.
Message_5_Rewards 1
Message_5_Reward_0_Type Flag_Short_Random
Message_5_Reward_0_ID 28000
Message_5_Reward_0_Min_Value 0
Message_5_Reward_0_Max_Value 2
Message_5_Reward_0_Modification Assign

// Randomized 3 (Evening, 12 to 4am)
Message_6_Pages 1
Message_6_Conditions 2
Message_6_Condition_0_Type Flag_Short
Message_6_Condition_0_ID 28000
Message_6_Condition_0_Value 2
Message_6_Condition_0_Logic Equal
Message_6_Condition_1_Type Time_Of_Day
Message_6_Condition_1_Second 14400
Message_6_Condition_1_Logic Less_Than_Or_Equal_To
// Randomize Again.
Message_6_Rewards 1
Message_6_Reward_0_Type Flag_Short_Random
Message_6_Reward_0_ID 28000
Message_6_Reward_0_Min_Value 0
Message_6_Reward_0_Max_Value 2
Message_6_Reward_0_Modification Assign

Responses 4

Response_0_Dialogue 28104

Response_1_Dialogue 28102
Response_1_Quest 28105
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 28105
Response_1_Condition_0_Status None
Response_1_Rewards 3
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 28105
Response_1_Reward_1_Type Flag_Bool
Response_1_Reward_1_ID 28106
Response_1_Reward_1_Value False
Response_1_Reward_2_Type Flag_Bool
Response_1_Reward_2_ID 28107
Response_1_Reward_2_Value False

Response_2_Dialogue 28103
Response_2_Quest 28105
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 28105
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset
