Message_0_Page_0 Good to see you in one piece, <name_char>.
Message_1_Page_0 Nice to be able to breathe some fresh air. Thanks for all the help.
Message_2_Page_0 Feels quite a bit safer here, thanks to you.
Message_3_Page_0 Isn't <color=legendary>Snow</color> just the cutest?<br><pause><pause><i>...did I say that out loud?</i>

// Intro
Response_0 Got anything to do?
Response_1 Got anything to do?
Response_2 Defeated the zombies!
Response_3 Got anything to do?
Response_4 Got anything to do?
Response_5 Defeated the zombies!
Response_6 Got anything to do?
Response_7 Got anything to do?
Response_8 Defeated the zombies!
Response_9 Got anything to do?
Response_10 Got anything to do?
Response_11 Defeated the zombies!
Response_12 Got anything to do?
Response_13 Got anything to do?
Response_14 Defeated the zombies!
Response_15 Got anything to do?
Response_16 Got anything to do?
Response_17 Defeated the zombies!
Response_18 Got anything to do?
Response_19 Got anything to do?
Response_20 Defeated the zombies!
Response_21 Got anything to do?
Response_22 Got anything to do?
Response_23 Defeated the zombies!
Response_24 Thanks!
Response_25 Uh...
