GUID 4bea4333b8344141be111a6cc7627c9e
Type Quest
ID 29505

Conditions 3
Condition_0_Type Item
Condition_0_ID 5215
Condition_0_Amount 4
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5214
Condition_1_Amount 4
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5217
Condition_2_Amount 2
Condition_2_Reset

Rewards 3
Reward_0_Type Experience
Reward_0_Value 75
Reward_1_Type Reputation
Reward_1_Value 7
Reward_2_Type Flag_Short
Reward_2_ID 29300
Reward_2_Value 1
Reward_2_Modification Increment
