GUID 82a3521d8f4c411abf77c48496d478e7
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 3078

Size_X 2
Size_Y 2
Size_Z 0.38

Magazine 3079

Ammo_Max 5
Ammo_Min 2


Safety
Semi

Caliber 73

Range 125
Firerate 9
Action Trigger

Player_Damage 78
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 150
Zombie_Leg_Multiplier 0.9
Zombie_Arm_Multiplier 0.9
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 30
Vehicle_Damage 50
Resource_Damage 40
Object_Damage 50

Durability 0.5

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -4.8
Recoil_Min_Y 12
Recoil_Max_X 4.8
Recoil_Max_Y 16

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.2
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.3

Muzzle 3
Shell 1

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3078
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
