GUID ab68492a363d488b8bcce7e44529eeb3
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 5110

Size_X 1
Size_Y 3
Size_Z 0.825

Range 3.5
Strength 1.25
Weak 0.4
Strong 0.5
Stamina 15

Player_Damage 55
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.1

Zombie_Damage 65
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 88
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 3
Structure_Damage 3
Vehicle_Damage 15
Resource_Damage 15
Object_Damage 20

Durability 0.2

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 5051
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 5548
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Supply_2_ID 67
Blueprint_0_Supply_2_Amount 3
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
Blueprint_1_Type Repair
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Supply_1_ID 5548
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Build 27
Blueprint_1_Map Kuwait
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 5110
Blueprint_2_Product 67
Blueprint_2_Products 2
Blueprint_2_Build 27
Blueprint_2_Map Kuwait

Asset_Bundle_Version 2
