GUID 0782917eb4424472856c54ab284c21e9
Type Barricade
Rarity Legendary
Useable Barricade
Build Door
ID 29990

Exclude_From_Master_Bundle

Size_X 2
Size_Y 2
Size_Z 0.3

Health 1950
Range 4
Radius 1
Offset 1.25

Locked

Explosion 35

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 286
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 65
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 68
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Armor_Tier High
