GUID d8b4bb5635d6416194a6e2137952ca2d
Type Quest
ID 27551

Conditions 1
Condition_0_Type Kills_Zombie
Condition_0_ID 27561
Condition_0_Zombie Normal
Condition_0_Value 150
Condition_0_Reset

Rewards 3
Reward_0_Type Experience
Reward_0_Value 200
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Short_Random
Reward_2_ID 27535
Reward_2_Min_Value 0
Reward_2_Max_Value 7
Reward_2_Modification Assign
// Seems to be irrelevant with the reset line.
// Reward_3_Type Flag_Short
// Reward_3_ID 27560
// Reward_3_Value 0
// Reward_3_Modification Assign


// If you're copying things, at least credit NSTM.
