GUID d43656ce7ab046469795ba767eb89b53
Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 5807

Size_X 2
Size_Y 2
Size_Z 0.4

Health 900
Range 4
Radius 0.25
Offset 1.3

Storage_X 7
Storage_Y 8

Locked

Explosion 36

Blueprints 2
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 9
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
Blueprint_0_Map Kuwait
Blueprint_1_Type Furniture
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 8
Blueprint_1_Tool 5112
Blueprint_1_Tool_Critical
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 27
Blueprint_1_Map Kuwait

Should_Close_When_Outside_Range true
PlacementAudioClip Sounds/MetalPlacement.mp3

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Wardrobe_Metal
