GUID ac71936a7eef40919693cd505cffc44b
Type Quest
ID 28008

Conditions 2
Condition_0_Type Item
Condition_0_ID 68
Condition_0_Amount 5
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5536
Condition_1_Amount 3
Condition_1_Reset

Rewards 4
Reward_0_Type Item
Reward_0_ID 5311
Reward_0_Amount 1
Reward_1_Type Experience
Reward_1_Value 50
Reward_2_Type Reputation
Reward_2_Value 5
Reward_3_Type Flag_Short
Reward_3_ID 27000
Reward_3_Value 1
Reward_3_Modification Increment

// If you're copying things, at least credit NSTM.
