Message_0_Page_0 Hello, <name_char>.
Message_1_Page_0 Is there something you need, <name_char>?
Message_2_Page_0 Can I help you, <name_char>?
Message_3_Page_0 <i>Do you think Issac likes me <name_char>?</i>
Message_4_Page_0 <i>*yawn*<br>haven't been able to sleep since there are so many people here now...</i>

Response_0 Got anything to do?
Response_1 Got anything to do?
Response_2 I've got the supplies!
Response_3 Got anything to do?
Response_4 Got anything to do?
Response_5 I've got the supplies!
Response_6 Got anything to do?
Response_7 Got anything to do?
Response_8 I've got the supplies!
Response_9 Got anything to do?
Response_10 Got anything to do?
Response_11 I've got the supplies!
Response_12 Got anything to do?
Response_13 Got anything to do?
Response_14 I've got the supplies!
Response_15 Got anything to do?
Response_16 Got anything to do?
Response_17 I've got the supplies!
Response_18 Got anything to do?
Response_19 Got anything to do?
Response_20 I've got the supplies!
Response_21 Got anything to do?
Response_22 Got anything to do?
Response_23 I've got the supplies!
Response_24 Got anything to do?
Response_25 Got anything to do?
Response_26 I've got the supplies!
Response_27 Got anything to do?
Response_28 Got anything to do?
Response_29 I've got the supplies!
Response_30 I have something for you.
Response_31 Do you have any good leadership tips?
Response_32 Goodbye.
Response_33 Uhh...
