GUID e30ea3cc05004fea813a224a784fd012
Type Quest
ID 4068

Conditions 5
// Blueprint Collection
Condition_0_Type Flag_Short
Condition_0_ID 4084
Condition_0_Value 11
Condition_0_Logic Equal
// Calipers
Condition_1_Type Flag_Bool
Condition_1_ID 4080
Condition_1_Value True
Condition_1_Logic Equal
// Gauge
Condition_2_Type Flag_Bool
Condition_2_ID 4081
Condition_2_Value True
Condition_2_Logic Equal
// Chuck
Condition_3_Type Flag_Bool
Condition_3_ID 4082
Condition_3_Value True
Condition_3_Logic Equal
// Cutters
Condition_4_Type Flag_Bool
Condition_4_ID 4083
Condition_4_Value True
Condition_4_Logic Equal

Rewards 4
Reward_0_Type Experience
Reward_0_Value 75
Reward_1_Type Reputation
Reward_1_Value 5
// Fort quests completed
Reward_2_Type Flag_Short
Reward_2_ID 4014
Reward_2_Value 1
Reward_2_Modification Increment
// Machine Level
Reward_3_Type Flag_Short
Reward_3_ID 4018
Reward_3_Value 1
Reward_3_Modification Increment
