GUID d861061179984e4c8a46ff0d23c4994d
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 3026

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.8

Sight 3027
Magazine 3028

Hook_Sight
Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 1
Ammo_Max 10

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 64

Range 300
Firerate 50
Action Bolt

Player_Damage 85
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 120
Zombie_Leg_Multiplier 0.9
Zombie_Arm_Multiplier 0.9
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.1

Animal_Damage 85
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 45
Structure_Damage 45
Vehicle_Damage 55
Resource_Damage 60
Object_Damage 150

Durability 0.8

Spread_Aim 0.001
Spread_Hip 0.45

Ballistic_Steps 15
Ballistic_Travel 20

Recoil_Aim 0.2
Recoil_Min_X -3
Recoil_Min_Y 29
Recoil_Max_X 3
Recoil_Max_Y 33

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3026
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 4
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 2
Blueprint_1_Build 27
