GUID cba6ff5d8cf14a5c9ea2aed8b98e1902
Type Quest
ID 29645

Conditions 4
Condition_0_Type Item
Condition_0_ID 5032
Condition_0_Amount 2
Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 5033
Condition_1_Amount 20
Condition_1_Value True
Condition_1_Logic Equal
Condition_1_Reset
Condition_2_Type Item
Condition_2_ID 5011
Condition_2_Amount 1
Condition_2_Reset
Condition_3_Type Item
Condition_3_ID 5013
Condition_3_Amount 30
Condition_3_Value True
Condition_3_Logic Equal
Condition_3_Reset

Rewards 3
Reward_0_Type Experience
Reward_0_Value 100
Reward_1_Type Reputation
Reward_1_Value 10
Reward_2_Type Flag_Short
Reward_2_ID 29300
Reward_2_Value 1
Reward_2_Modification Increment

// You're here for the object breaking quest, aren't you?
