GUID b6399abc7eec43ca972bdddf688fd5a7
Type Barricade
Useable Barricade
Build Barricade
Rarity Rare
ID 5406

Size_X 1
Size_Y 1
Size_Z 0.5

Health 50
Range 8
Offset 0.065

Explosion 28
Vulnerable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 5507
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Build 27
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Map Kuwait
Blueprint_0_Rewards 1
Blueprint_0_Reward_0_Type Achievement
Blueprint_0_Reward_0_ID Kuwait_HomeDecor
