Message_0_Page_0 Hey hey <name_char>, what's up?
Message_1_Page_0 Good to see you okay <name_char>.
Message_2_Page_0 There are a couple new faces here!
Message_3_Page_0 <i>l<pause>o<pause>d<pause>s<pause> of <pause>e<pause>m<pause>o<pause>n<pause>e, what's that spell?</i>

Response_0 What do you do?
Response_1 Can I convert my dinars to different ones?
Response_2 Can I convert my dinars to experience?
Response_3 Completed Snow's Quest!
Response_4 Completed Snow's Quest!
Response_5 Completed Snow's Quest!
Response_6 Completed Snow's Quest!
Response_7 Completed Snow's Quest!
Response_8 Completed Snow's Quest!
Response_9 Completed Snow's Quest!
Response_10 Completed Snow's Quest!
Response_11 Completed Snow's Quest!
Response_12 Completed Cynthia's Quest!
Response_13 Completed Cynthia's Quest!
Response_14 Completed Cynthia's Quest!
Response_15 Completed Phillip's Quest!
Response_16 Completed Phillip's Quest!
Response_17 Completed Phillip's Quest!
Response_18 Completed Dominic's Quest!
Response_19 Completed Dominic's Quest!
Response_20 Completed Dominic's Quest!
Response_21 Completed Samantha's Quest!
Response_22 Completed Samantha's Quest!
Response_23 Completed Samantha's Quest!
Response_24 Completed Maria's Quest!
Response_25 I've have the... thing?
Response_26 Do you have any good leadership tips?
Response_27 Goodbye.
Response_28 Uh...
