GUID d829a1b23deb4f228ca901b25299ed4b
Type Backpack
Rarity Legendary
Useable Clothing
ID 5618

Size_X 2
Size_Y 2
Size_Z 0.6

Width 8
Height 7

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5618
Blueprint_0_Product 66
Blueprint_0_Products 6
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 66
Blueprint_1_Supply_0_Amount 6
Blueprint_1_Build 32

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Pack_Spec_Ops
