GUID 4c308d29eb2444489bfc7ddd34bbff9c
Type Quest
ID 4043

Conditions 1
Condition_0_Type Kills_Zombie
Condition_0_ID 4089
Condition_0_Value 1
Condition_0_Zombie Boss_Wind
Condition_0_Spawn
Condition_0_Nav 10

Rewards 4
Reward_0_Type Experience
Reward_0_Value 50
Reward_1_Type Reputation
Reward_1_Value 25

// Fort quests completed
Reward_2_Type Flag_Short
Reward_2_ID 4014
Reward_2_Value 1
Reward_2_Modification Increment

// Exterminate campaign progression
Reward_3_Type Flag_Short
Reward_3_ID 4038
Reward_3_Value 1
Reward_3_Modification Increment
